"","gene","avg_log2FC_male","avg_log2FC_female","same_direction"
"1","Rps29",0.950083721005173,0.65777769111352,TRUE
"2","Rpl21",1.25601477541501,0.891552751983712,TRUE
"3","Rps21",1.23901784715259,0.779883858030244,TRUE
"4","Rplp1",1.1988432540839,0.979180632632698,TRUE
"5","Ctsb",-1.5575678487258,-1.16791353755732,TRUE
"6","Rps15a",0.856438711911512,0.63448114929527,TRUE
"7","Rps26",1.1130694008066,0.753411370867225,TRUE
"8","Rps19",0.838800301206405,0.42993567789792,TRUE
"9","Rpl23",0.7802780500034,0.388403137185647,TRUE
"10","Rpl35a",0.734251159504111,0.436098301565543,TRUE
"11","mt-Atp6",1.00919565369817,0.761465812331531,TRUE
"12","Rpl39",0.639886511078542,0.309297912236688,TRUE
"13","mt-Co2",0.936522146724402,0.679934699152401,TRUE
"14","Rps27",0.8852270209598,0.558082980931268,TRUE
"15","Rpl32",0.785057517201353,0.519581055811977,TRUE
"16","Rps3",0.879044581541416,0.411825672485548,TRUE
"17","Rpl18",0.918115974685188,0.489589964282307,TRUE
"18","Rps12",1.04299822280827,0.752349061161021,TRUE
"19","Rpl18a",0.69646447448168,0.358166132279547,TRUE
"20","Rpl19",0.62211416368404,0.300798124146943,TRUE
"21","Rps5",0.817010797032678,0.435561540524603,TRUE
"22","Rps13",0.877134409314079,0.456873436508316,TRUE
"23","Rpl13",0.520629858933606,0.364949815536637,TRUE
"24","mt-Nd4",0.800391480333807,0.43409045116922,TRUE
"25","mt-Cytb",0.919227053695429,0.638128903724951,TRUE
"26","Rpl27a",0.724080590231117,0.306980676391142,TRUE
"27","Rpl34",0.605029321108747,0.368323074355761,TRUE
"28","mt-Co1",0.790623189339628,0.501685123405297,TRUE
"29","Gm10260",1.75385635265619,1.44599839440985,TRUE
"30","Rpl8",0.804727651018271,0.579988416633947,TRUE
"31","Rpl37a",0.489871944771821,0.317141439764866,TRUE
"32","Rpl7",0.851725644733828,0.369164132563746,TRUE
"33","Npl",1.43324767550892,1.09505842371369,TRUE
"34","mt-Atp8",1.15046611680834,0.663513324490376,TRUE
"35","mt-Co3",0.6712104327681,0.467419693549303,TRUE
"36","Actb",-0.861572220003238,-0.648132979321776,TRUE
"37","Rps10",0.659134059112638,0.459803878148884,TRUE
"38","Emid1",4.37881959301546,4.36253011719292,TRUE
"39","Sirpa",-1.29712683536013,-0.545129933036514,TRUE
"40","Rps7",0.599252647255651,0.263554792769067,TRUE
"41","Eef1a1",0.566661202371131,0.411078782079619,TRUE
"42","mt-Nd2",0.975490733846831,0.897359718129836,TRUE
"43","mt-Nd1",0.77247159444054,0.720431890015997,TRUE
"44","Rplp2",0.502855942574638,0.303604711733438,TRUE
"45","Rpl26",0.608557959345898,0.282497289364226,TRUE
"46","Tpt1",0.579330694525854,0.322911939977638,TRUE
"47","Eef1b2",0.898392637630309,0.907299000295387,TRUE
"48","Rpl10",0.750480130932171,0.666023950921323,TRUE
"49","Rpl28",0.556675793091216,0.346339996231873,TRUE
"50","Csf1r",-0.844183468339462,-0.363497331577762,TRUE
"51","mt-Nd4l",0.703734349548162,0.405121384081343,TRUE
"52","Ldhb",-2.02045659145286,-2.27902141631599,TRUE
"53","Grn",-0.788160749734391,-0.392599666551122,TRUE
"54","Rpl15",0.516300861026413,0.30009017235677,TRUE
"55","Ethe1",1.65303034216627,0.718009621838932,TRUE
"56","Rpl10a",0.441005757119483,0.38732076605041,TRUE
"57","Qk",-1.1529231758215,-0.647428117834998,TRUE
"58","Apoe",0.564107284850892,0.673182989960789,TRUE
"59","Atp6v0b",-0.711361581416563,-0.305397534418709,TRUE
"60","Slc25a3",0.807063278871557,0.715001309239615,TRUE
"61","Qsox1",-4.03324352030919,-2.64401927208767,TRUE
"62","Rpl3",0.562954702167997,0.454759678545842,TRUE
"63","Eno1",1.26869124806817,0.285734615507147,TRUE
"64","Eif3f",0.824238210880075,0.70452954144618,TRUE
"65","Rpl12",0.540171786102392,0.487380182426538,TRUE
"66","Gm10073",2.20113525074366,0.664401043678091,TRUE
"67","Tia1",-2.94489104568609,0.735664218912215,FALSE
"68","Gm8186",1.66617114049921,1.40076294894227,TRUE
"69","Zfhx3",-1.92467230108616,0.282831867545722,FALSE
"70","Rpl27-ps3",1.0827874133005,1.34254225951398,TRUE
"71","Apoc1",1.14530815550593,0.271520118827037,TRUE
"72","Pabpc1",-0.653740456160928,-0.316202424538536,TRUE
"73","mt-Nd5",0.678174501699365,0.868849601573014,TRUE
"74","Rps8",0.378397411481929,0.484144077420218,TRUE
"75","Gm3550",0.832630315993313,0.658651343504856,TRUE
"76","Ubb",0.542829224357725,0.318466752664149,TRUE
"77","Gars",1.62343641610057,0.848206522329088,TRUE
"78","Rbmxl1",1.64355877811674,1.10333399008626,TRUE
"79","Ly86",0.460948635981063,0.287127136862192,TRUE
"80","Chchd10",1.75730260431352,0.605109214241643,TRUE
"81","Arsb",-0.855144989378026,-0.352046753838592,TRUE
"82","Gm26917",-0.640265504881802,0.862142292926525,FALSE
"83","Polr2m",1.08214518854845,0.540409770754402,TRUE
"84","Borcs6",1.3684389307455,0.885177364007244,TRUE
"85","Bcl2a1d",1.00803327416094,0.319268212280228,TRUE
"86","Commd3",0.971808041909915,0.296238479810148,TRUE
"87","Btf3",0.504075194225472,0.292894440202504,TRUE
